"Rating_response","Text","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_welcome","count_end","count_experiment","count_logger","count_scale","count_scale_ratings","count_scale_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","item","keyboard_backend","list","live_row","live_row_scale","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end","response_time","response_time_end","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_end","time_experiment","time_logger","time_scale","time_scale_ratings","time_scale_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"3","In che misura il robot è dotato di desideri?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","0","0","0","0","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","5","legacy","Waytz Scale","0","0","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","346905","313945","314121","314121","2113","New experiment","0","0","0","yes","1024"
"2","In che misura il robot è dotato di intenzioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","1","0","1","1","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","2","legacy","Waytz Scale","1","1","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","354850","313945","347089","347088","2113","New experiment","0","0","0","yes","1024"
"1","In che misura il robot è dotato di una coscienza?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","2","0","2","2","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","4","legacy","Waytz Scale","2","2","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","363338","313945","355020","355020","2113","New experiment","0","0","0","yes","1024"
"2","In che misura il robot è dotato di pensieri indipendenti?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","3","0","3","3","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","1","legacy","Waytz Scale","3","3","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","368115","313945","363513","363512","2113","New experiment","0","0","0","yes","1024"
"3","In che misura il robot è dotato di libero arbitrio?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","4","0","4","4","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","3","legacy","Waytz Scale","4","4","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","375507","313945","368299","368298","2113","New experiment","0","0","0","yes","1024"
"1","In che misura il robot fa esperienza di emozioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","5","0","5","5","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","7","legacy","Waytz Scale","5","5","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","379802","313945","375679","375679","2113","New experiment","0","0","0","yes","1024"
"5","In che misura il robot è dotato di valori e norme?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","6","0","6","6","0","Mon Nov 22 10:33:20 2021","The main experiment item","yes","Waytz.osexp","G:\My Drive\Mac\IIT\TMS GC\waytz data","no","mono","no","18","no","black","no","Vai avanti","yes","768","6","legacy","Waytz Scale","6","6","G:/My Drive/Mac/IIT/TMS GC/waytz data/subject-25.csv","legacy","Lentiform Loewenfeld","3.3.9","0","return","NA","311831","NA","311831","return","2","legacy","1024","2","48000","-16","experiment","25","odd","NA","2109","389778","313945","379973","379973","2113","New experiment","0","0","0","yes","1024"
