"Rating_response","Text","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_welcome","count_end","count_experiment","count_logger","count_scale","count_scale_ratings","count_scale_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","item","keyboard_backend","list","live_row","live_row_scale","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end","response_time","response_time_end","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_end","time_experiment","time_logger","time_scale","time_scale_ratings","time_scale_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"2","In che misura il robot è dotato di pensieri indipendenti?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","0","0","0","0","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","1","legacy","Waytz Scale","0","0","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","149860","128437","128794","128794","4534","New experiment","0","0","0","yes","1024"
"0","In che misura il robot è dotato di desideri?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","1","0","1","1","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","5","legacy","Waytz Scale","1","1","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","157125","128437","150085","150085","4534","New experiment","0","0","0","yes","1024"
"1","In che misura il robot fa esperienza di emozioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","2","0","2","2","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","7","legacy","Waytz Scale","2","2","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","162436","128437","157338","157337","4534","New experiment","0","0","0","yes","1024"
"1","In che misura il robot è dotato di libero arbitrio?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","3","0","3","3","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","3","legacy","Waytz Scale","3","3","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","173577","128437","162648","162646","4534","New experiment","0","0","0","yes","1024"
"3","In che misura il robot è dotato di valori e norme?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","4","0","4","4","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","6","legacy","Waytz Scale","4","4","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","179764","128437","173779","173779","4534","New experiment","0","0","0","yes","1024"
"2","In che misura il robot è dotato di una coscienza?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","5","0","5","5","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","4","legacy","Waytz Scale","5","5","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","185160","128437","179958","179957","4534","New experiment","0","0","0","yes","1024"
"0","In che misura il robot è dotato di intenzioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","6","0","6","6","0","Mon Nov  8 11:35:28 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","2","legacy","Waytz Scale","6","6","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","123900","NA","123900","space","2","legacy","1024","2","48000","-16","experiment","3","odd","NA","4527","209411","128437","185364","185364","4534","New experiment","0","0","0","yes","1024"
