"Rating_response","Text","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_welcome","count_end","count_experiment","count_logger","count_scale","count_scale_ratings","count_scale_sequence","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","item","keyboard_backend","list","live_row","live_row_scale","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_end","response_time","response_time_end","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_end","time_experiment","time_logger","time_scale","time_scale_ratings","time_scale_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","In che misura il robot è dotato di pensieri indipendenti?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","0","0","0","0","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","1","legacy","Waytz Scale","0","0","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","25674","5031","5479","5476","2610","New experiment","0","0","0","yes","1024"
"0","In che misura il robot è dotato di una coscienza?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","1","0","1","1","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","4","legacy","Waytz Scale","1","1","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","32707","5031","25885","25885","2610","New experiment","0","0","0","yes","1024"
"1","In che misura il robot è dotato di desideri?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","2","0","2","2","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","5","legacy","Waytz Scale","2","2","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","39069","5031","32954","32953","2610","New experiment","0","0","0","yes","1024"
"1","In che misura il robot fa esperienza di emozioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","3","0","3","3","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","7","legacy","Waytz Scale","3","3","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","46550","5031","39356","39356","2610","New experiment","0","0","0","yes","1024"
"3","In che misura il robot è dotato di libero arbitrio?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","4","0","4","4","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","3","legacy","Waytz Scale","4","4","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","54369","5031","46754","46753","2610","New experiment","0","0","0","yes","1024"
"4","In che misura il robot è dotato di intenzioni?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","5","0","5","5","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","2","legacy","Waytz Scale","5","5","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","58927","5031","54534","54534","2610","New experiment","0","0","0","yes","1024"
"6","In che misura il robot è dotato di valori e norme?","undefined","undefined","undefined","undefined","white","legacy","legacy","legacy","0","uniform","undefined","undefined","0","0","6","0","6","6","0","Fri Nov 12 16:42:58 2021","The main experiment item","yes","Waytz.osexp","C:\Users\kkompatsiari\Dropbox\IIT\phd\Experiments\Ferrara\Waytz","no","mono","no","18","no","black","no","Vai avanti","yes","768","6","legacy","Waytz Scale","6","6","C:/Users/kkompatsiari/Dropbox/IIT/phd/Experiments/Ferrara/Waytz/subject-17.csv","legacy","Lentiform Loewenfeld","3.3.10","0","space","NA","2419","NA","2419","space","2","legacy","1024","2","48000","-16","experiment","17","odd","NA","2601","67926","5031","59120","59120","2610","New experiment","0","0","0","yes","1024"
