scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,19,27.113,527.1078828000027,None,,,,,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,0,0,11,,,,,90,14.121,557.0834520000062,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,1,1,13,,,,,100,11.434,571.2554569000058,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,2,2,4,,,,,99,11.467,582.7411192,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,3,3,26,,,,,80,16.315,594.2628201000043,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,4,4,21,,,,,2,14.77,610.6295981000003,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,5,5,6,,,,,81,11.781,625.4518650999962,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,6,6,25,,,,,100,12.872,637.2858647999965,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,7,7,23,,,,,10,21.078,650.2123556000006,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,8,8,31,,,,,0,9.663,671.3476649000077,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,9,9,20,,,,,29,12.873,681.0563660000043,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,10,10,18,,,,,47,20.782,693.9843706999964,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,11,11,1,,,,,10,15.67,714.815943499998,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,12,12,10,,,,,100,14.236,730.5354114000074,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,13,13,16,,,,,100,15.169,744.8231474000058,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,14,14,29,,,,,0,11.314,760.0465093000093,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,15,15,15,,,,,100,22.304,771.4106571000011,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,16,16,32,,,,,81,13.938,793.7635934999998,None,,,4,001,2021_Nov_08_1521,InStance_GRUPPO_Psychopy,2020.1.3,60.01723695244526,
