scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,19,26.912,283.0339333000011,None,,,,,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,0,0,27,,,,,20,27.538,313.9180641999992,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,1,1,14,,,,,80,10.779,341.51854170000297,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,2,2,32,,,,,20,16.734,352.3648523000011,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,3,3,11,,,,,79,11.116,369.1603964000242,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,4,4,6,,,,,0,14.255,380.336976999999,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,5,5,23,,,,,0,25.755,394.66056360001676,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,6,6,9,,,,,100,25.53,420.47960400002194,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,7,7,20,,,,,0,7.745,446.0728935000079,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario34,scenario_34.jpg,iCub aggiorna le coordinate della posizione della palla.,iCub ha deciso di non lanciare la palla.,,,M,I,,,,,0,8,8,33,,,,,100,8.945,453.88087920000544,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,9,9,30,,,,,100,5.894,462.8874947000004,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,10,10,13,,,,,24,10.616,468.8473877000215,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,11,11,29,,,,,9,10.108,479.5280159000249,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,12,12,28,,,,,18,12.667,489.69883860001573,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,13,13,4,,,,,95,6.76,502.4279061999987,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,14,14,21,,,,,18,11.333,509.2496774000174,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,15,15,1,,,,,21,9.989,520.6436775000184,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,16,16,18,,,,,17,8.253,530.698733199999,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,17,17,12,,,,,9,6.963,539.0117601000238,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,18,18,0,,,,,14,4.712,546.0349520000163,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,19,19,8,,,,,90,14.97,550.8073238000215,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,20,20,22,,,,,87,7.514,565.8383177000214,None,,,8,001,2021_Nov_09_1029,InStance_GRUPPO_Psychopy,2020.2.10,None,
