scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,0,21.049,28.8601503999962,None,,,,,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,0,0,20,,,,,100,10.363,53.95919409999624,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,1,1,32,,,,,0,9.66,64.39142229999561,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,2,2,2,,,,,69,11.216,74.18044560000271,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,3,3,18,,,,,33,12.815,85.51469910000014,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,4,4,15,,,,,22,10.242,98.43808709999576,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,5,5,28,,,,,65,9.159,108.80515670000023,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,6,6,21,,,,,36,11.387,118.07574410000234,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario34,scenario_34.jpg,iCub aggiorna le coordinate della posizione della palla.,iCub ha deciso di non lanciare la palla.,,,M,I,,,,,0,7,7,33,,,,,62,17.861,129.58001749999676,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,8,8,30,,,,,69,8.468,147.55000819999987,None,,,1,001,2021_Nov_08_0851,InStance_GRUPPO_Psychopy,2020.1.3,59.93877853033406,
