scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,94,37.934,139.84823519999918,None,,,,,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,0,0,15,,,,,82,15.075,180.86663839999528,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,1,1,26,,,,,80,35.35,195.9884951999993,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,2,2,5,,,,,30,40.664,231.3883274999971,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,3,3,12,,,,,24,21.777,272.1070403999911,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,4,4,31,,,,,1,25.243,293.939847799993,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,5,5,25,,,,,75,22.508,319.2350843000022,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,6,6,30,,,,,87,17.438,341.7937721999915,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,7,7,1,,,,,29,19.405,359.28100930000073,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,8,8,17,,,,,21,13.116,378.73749329999555,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario6,scenario_6.jpg,iCub traccia il cursore del mouse.,iCub è interessato a quello che c'è sullo schermo.,,,M,I,,,,,0,9,9,19,,,,,72,20.174,391.9015067,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,10,10,13,,,,,63,18.353,412.12691229999473,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,11,11,6,,,,,10,38.072,430.5303770000028,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,12,12,18,,,,,32,43.289,468.65649379999377,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario7,scenario_7.jpg,iCub traccia la posizione della palla.,iCub non vede l'ora di ricevere la palla.,,,M,I,,,,,0,13,13,3,,,,,35,24.704,511.9963607999962,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,14,14,2,,,,,83,17.006,536.7483869999996,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,15,15,32,,,,,74,17.335,553.8054391999904,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,16,16,16,,,,,72,30.278,571.1916441999929,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,17,17,11,,,,,17,26.906,601.5188933000027,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,18,18,28,,,,,67,34.117,628.4764988999959,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,19,19,24,,,,,78,12.052,662.643062099989,None,,,30,001,2021_Nov_23_1647,InStance_GRUPPO_Psychopy,2020.1.3,59.597490470576645,
