scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,100,28.847,449.62186349999683,None,,,,,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,0,0,4,,,,,100,19.234,481.8676831999983,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,1,1,16,,,,,99,21.505,501.1502521000002,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,2,2,15,,,,,100,13.31,522.7128123000002,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,3,3,12,,,,,100,12.09,536.0706117000009,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,4,4,22,,,,,100,11.817,548.216534799998,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,5,5,14,,,,,98,6.767,560.0791516000027,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,6,6,27,,,,,0,17.672,566.895680200003,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,7,7,8,,,,,75,11.351,584.6199514999971,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,8,8,2,,,,,91,5.861,596.0253357000038,None,,,2,001,2021_Nov_08_1006,InStance_GRUPPO_Psychopy,2020.1.3,59.69953225365678,
