scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,21,26.245,38.363377100000434,None,,,,,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,0,0,4,,,,,71,10.045,67.23677490000046,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,1,1,16,,,,,81,14.553,77.39938650000022,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,2,2,10,,,,,100,12.761,92.06207489999997,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,3,3,14,,,,,83,11.834,104.9219137,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,4,4,18,,,,,20,15.556,116.87010129999999,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,5,5,13,,,,,68,17.501,132.5471204000005,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,6,6,8,,,,,72,5.83,150.14273649999996,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,7,7,15,,,,,31,12.268,156.0761809000005,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,8,8,23,,,,,12,6.82,168.45353849999992,None,,,17,001,2021_Nov_12_1645,InStance_GRUPPO_Psychopy,2020.1.3,60.14343005199236,
