scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,90,34.308,236.4418095999863,None,,,,,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario34,scenario_34.jpg,iCub aggiorna le coordinate della posizione della palla.,iCub ha deciso di non lanciare la palla.,,,M,I,,,,,0,0,0,33,,,,,19,14.514,273.2176403000485,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,1,1,7,,,,,71,25.651,287.8010323999915,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,2,2,8,,,,,72,15.369,313.5154212999623,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,3,3,0,,,,,21,9.807,329.0049167999532,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,4,4,29,,,,,29,8.606,338.8823585999198,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,5,5,15,,,,,72,13.69,347.56055300007574,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,6,6,25,,,,,79,10.724,361.31848910008557,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,7,7,17,,,,,12,13.748,372.10974089987576,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,8,8,24,,,,,10,10.074,385.92692029988393,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,9,9,21,,,,,10,10.961,396.0692638999317,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,10,10,10,,,,,90,15.731,407.09695630008355,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,11,11,5,,,,,11,6.639,422.896463500103,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,12,12,27,,,,,11,13.474,429.6422707999591,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,13,13,6,,,,,0,10.665,443.19254479999654,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,14,14,22,,,,,100,7.728,453.97273060004227,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,15,15,30,,,,,100,9.175,461.76808819989674,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,16,16,14,,,,,80,10.627,471.0099080000073,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,17,17,28,,,,,89,8.478,481.70041580009274,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,18,18,23,,,,,11,13.227,490.2485477998853,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,19,19,31,,,,,12,13.655,503.59942659991793,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,20,20,11,,,,,7,6.302,517.3435653999913,None,,,24,001,2021_Nov_22_0852,InStance_GRUPPO_Psychopy,2020.2.10,None,
