scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,0,31.797,41.01636320000034,None,,,,,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,0,0,24,,,,,31,21.097,76.44727339999736,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,1,1,9,,,,,10,25.948,97.68525079999745,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,2,2,7,,,,,0,14.973,123.7640513999977,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,3,3,21,,,,,0,16.918,138.86599360000037,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,4,4,6,,,,,0,12.346,155.9121989999985,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,5,5,0,,,,,4,16.914,168.37913750000007,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,6,6,1,,,,,30,20.973,185.4278063999991,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,7,7,30,,,,,100,12.515,206.5205507999999,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,8,8,27,,,,,0,14.71,219.15591649999988,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,9,9,16,,,,,100,14.211,233.99588539999968,None,,,27,001,2021_Nov_22_1536,InStance_GRUPPO_Psychopy,2020.1.3,59.97505037801479,
