scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,12,14.303,72.03366300000926,None,,,,,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,0,0,21,,,,,23,28.349,90.77871389998472,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,1,1,2,,,,,93,7.773,119.19240329999593,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,2,2,26,,,,,75,11.809,127.03466780000599,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,3,3,4,,,,,88,13.729,138.91228499999852,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,4,4,24,,,,,60,10.159,152.70928869998897,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,5,5,8,,,,,20,13.28,162.93547890000627,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,6,6,0,,,,,56,10.678,176.28070500001195,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,7,7,29,,,,,21,12.976,187.0289941999945,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,8,8,27,,,,,14,11.526,200.07416540000122,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario7,scenario_7.jpg,iCub traccia la posizione della palla.,iCub non vede l'ora di ricevere la palla.,,,M,I,,,,,0,9,9,3,,,,,19,12.362,211.66742650000378,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario6,scenario_6.jpg,iCub traccia il cursore del mouse.,iCub è interessato a quello che c'è sullo schermo.,,,M,I,,,,,0,10,10,19,,,,,21,16.081,224.09810219999054,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,11,11,17,,,,,73,9.408,240.24849719999474,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,12,12,16,,,,,82,12.181,249.71910899999784,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,13,13,6,,,,,12,9.836,261.97416599999997,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,14,14,32,,,,,23,12.665,271.8745704999892,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,15,15,30,,,,,97,8.578,284.60460960000637,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,16,16,22,,,,,95,7.26,293.24591510000755,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,17,17,9,,,,,17,10.09,300.5761739999871,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,18,18,13,,,,,59,10.161,310.7322206000099,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario34,scenario_34.jpg,iCub aggiorna le coordinate della posizione della palla.,iCub ha deciso di non lanciare la palla.,,,M,I,,,,,0,19,19,33,,,,,75,8.691,320.9613226999936,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,20,20,23,,,,,29,17.844,329.72499320001225,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,21,21,28,,,,,72,10.462,347.6356362999941,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,22,22,18,,,,,26,6.473,358.163764500001,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,23,23,11,,,,,25,7.892,364.70216320001055,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,24,24,12,,,,,55,12.378,372.66237440000987,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,25,25,31,,,,,0,7.073,385.1252026000002,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,26,26,5,,,,,3,4.539,392.2628800999955,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,27,27,15,,,,,56,6.305,396.87109540001256,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,28,28,7,,,,,36,17.301,403.24142279999796,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,29,29,14,,,,,43,9.276,420.60999810000067,None,,,14,001,2021_Nov_10_1704,InStance_GRUPPO_Psychopy,2020.2.10,60.14773486395803,
