scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,100,42.445,35.32732210001268,None,,,,,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,0,0,6,,,,,2,7.526,80.24173190000874,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,1,1,11,,,,,84,8.523,87.87559809999948,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,2,2,0,,,,,1,7.085,96.51078260000213,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,3,3,24,,,,,0,7.212,103.70436370000243,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,4,4,25,,,,,17,9.466,111.03386420001334,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,5,5,15,,,,,100,6.134,120.6164112000115,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,6,6,12,,,,,81,7.309,126.8639101000008,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario7,scenario_7.jpg,iCub traccia la posizione della palla.,iCub non vede l'ora di ricevere la palla.,,,M,I,,,,,0,7,7,3,,,,,31,6.858,134.28352570001152,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,8,8,31,,,,,16,10.356,141.2568040000042,None,,,6,001,2021_Nov_08_1840,InStance_GRUPPO_Psychopy,2020.1.3,59.97587770333459,
