scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,21,21,8,,,,,100,6.477,395.87220950000483,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,22,22,27,,,,,28,7.745,402.4697146000035,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,23,23,29,,,,,0,13.746,410.3279796000061,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario7,scenario_7.jpg,iCub traccia la posizione della palla.,iCub non vede l'ora di ricevere la palla.,,,M,I,,,,,0,24,24,3,,,,,0,10.106,424.16139770000154,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,25,25,20,,,,,50,11.806,434.37905260000116,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,26,26,11,,,,,82,10.536,446.30249090000143,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,27,27,28,,,,,19,11.2,456.95712650000496,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,28,28,6,,,,,26,8.436,468.2689917000025,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,29,29,14,,,,,21,6.717,476.8095078000042,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,30,30,24,,,,,38,11.289,483.63399230000505,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,31,31,9,,,,,26,14.73,495.03628660000686,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,32,32,13,,,,,77,8.252,509.89514130000316,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,33,33,1,,,,,32,16.701,518.2694108000069,None,,,11,001,2021_Nov_09_1532,InStance_GRUPPO_Psychopy,2020.1.3,60.0168407244836,
,,,,,,,,,,,,,,,,,,,,,,,,534.9950594000038,None,,,,,,,
