scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,4,34.478,59.80719859999954,None,,,,,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,0,0,28,,,,,34,17.222,96.51332459998957,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,1,1,13,,,,,71,11.867,113.78634199999215,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,2,2,17,,,,,89,13.971,125.70791109999118,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,3,3,1,,,,,27,11.337,139.72759329999099,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario6,scenario_6.jpg,iCub traccia il cursore del mouse.,iCub è interessato a quello che c'è sullo schermo.,,,M,I,,,,,0,4,4,19,,,,,20,10.247,151.11250009998912,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,5,5,15,,,,,76,11.817,161.41267179998977,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,6,6,0,,,,,67,8.332,173.29817969999567,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,7,7,30,,,,,69,12.805,181.6779247999948,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,8,8,20,,,,,59,12.399,194.53546019998612,None,,,22,001,2021_Nov_18_1359,InStance_GRUPPO_Psychopy,2020.1.3,60.21495534579522,
