scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,100,43.829,36.88423039999907,None,,,,,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,0,0,9,,,,,0,26.96,83.89624780000304,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,1,1,10,,,,,100,22.083,111.42965370000456,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,2,2,17,,,,,100,8.657,133.58599540000432,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,3,3,2,,,,,100,9.585,142.3085110999964,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,4,4,20,,,,,100,15.751,151.9589280000073,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,5,5,14,,,,,0,9.701,168.2573304999969,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,6,6,18,,,,,0,8.744,178.02704880000965,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,7,7,6,,,,,0,6.224,186.84452300000703,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,8,8,11,,,,,0,31.558,193.6595340000058,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,9,9,23,,,,,0,6.41,225.29137130000163,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,10,10,21,,,,,0,9.714,231.7699852000078,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,11,11,7,,,,,0,14.196,241.55017800000496,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,12,12,29,,,,,100,15.095,256.31749780000246,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,13,13,13,,,,,100,11.629,272.0648971000046,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,14,14,27,,,,,0,17.033,284.3749497999961,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,15,15,24,,,,,100,14.448,301.47449760000745,None,,,7,001,2021_Nov_09_0843,InStance_GRUPPO_Psychopy,2020.2.10,60.06511057918447,
