scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,20,33.24,32.81523569999263,None,,,,,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,0,0,17,,,,,21,26.183,69.357648899997,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,1,1,14,,,,,82,24.252,95.6646880999906,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,2,2,13,,,,,79,13.065,120.00737419999496,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,3,3,4,,,,,83,19.98,133.18973990000086,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,4,4,5,,,,,19,22.258,153.26174410000385,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,5,5,31,,,,,30,16.067,175.64076049999858,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,6,6,25,,,,,62,23.875,191.83323180000298,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,7,7,23,,,,,19,14.826,215.83390519999375,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,8,8,12,,,,,18,10.901,230.77490049999324,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,9,9,8,,,,,81,32.615,241.7899602999969,None,,,5,001,2021_Nov_08_1723,InStance_GRUPPO_Psychopy,2020.1.3,59.89935709916631,
