scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,0,20.942,33.347740400000475,None,,,,,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,0,0,18,,,,,50,25.879,56.904649200005224,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario13,scenario_13.jpg,iCub vuole disegnare qualcosa.,iCub ottimizza la presa sugli oggetti piccoli.,,,I,M,,,,,0,1,1,22,,,,,80,25.273,82.89681700000074,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario28,scenario_28.jpg,iCub vorrebbe tenere questo cubo.,iCub classifica i cubi in base al colore.,,,I,M,,,,,0,2,2,30,,,,,90,30.08,108.2930320000014,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario12,scenario_12.jpg,iCub allinea la testa con la webcam.,iCub è sorpreso dalla webcam che si muove.,,,M,I,,,,,0,3,3,6,,,,,30,23.734,138.49277140000777,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,4,4,7,,,,,40,36.376,162.3437980000017,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,5,5,13,,,,,98,11.705,198.8478366000054,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario29,scenario_29.jpg,iCub è bloccato.,iCub immagina che il giocattolo sia ancora lì.,,,M,I,,,,,0,6,6,14,,,,,60,18.468,210.66708250000374,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario21,scenario_21.jpg,iCub pensa che le ragazze abbiano bisogno di cibo sano.,iCub può afferrare le arance più facilmente della torta.,,,I,M,,,,,0,7,7,10,,,,,21,17.193,229.23995860001014,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario6,scenario_6.jpg,iCub traccia il cursore del mouse.,iCub è interessato a quello che c'è sullo schermo.,,,M,I,,,,,0,8,8,19,,,,,29,21.002,246.54853050000384,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,9,9,17,,,,,100,11.662,267.6662911000021,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario24,scenario_24.jpg,iCub traccia i movimenti della mano.,iCub ha capito che la ragazza vuole la palla.,,,M,I,,,,,0,10,10,11,,,,,100,10.476,279.4427236000047,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario25,scenario_25.jpg,iCub bara guardando le carte dell'avversario.,iCub ha perso l'equilibrio per un momento.,,,I,M,,,,,0,11,11,29,,,,,60,18.677,290.03612090001116,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario9,scenario_9.jpg,iCub è disperato perchè non trova il suo giocattolo preferito.,iCub ha i motori rotti.,,,I,M,,,,,0,12,12,20,,,,,20,29.547,308.83747150001,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,13,13,28,,,,,30,20.776,338.4926073000097,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,14,14,5,,,,,50,7.185,359.38861730000644,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario10,scenario_10.jpg,iCub rileva differenze tra il vecchio e il nuovo oggetto in scena.,iCub vuole leggere il libro.,,,M,I,,,,,0,15,15,21,,,,,0,10.248,366.695464000004,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,16,16,12,,,,,20,11.34,377.0480205000058,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario19,scenario_19.jpg,iCub non ha intenzione di raccogliere la lattina caduta.,iCub non può bloccare la procedura nonostante la lattina stia cadendo.,,,I,M,,,,,0,17,17,25,,,,,100,13.144,388.50238580000587,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,18,18,0,,,,,0,8.286,401.75613830001384,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,19,19,27,,,,,20,16.814,410.15333460000693,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario16,scenario_16.jpg,iCub ha deciso di cucinare una torta.,iCub segue le istruzioni della ricetta.,,,I,M,,,,,0,20,20,8,,,,,79,11.852,427.0819124000118,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario8,scenario_8.jpg,iCub finge di essere un giardiniere.,iCub regola la forza in base al peso dell'oggetto.,,,I,M,,,,,0,21,21,4,,,,,100,9.529,439.04018370000995,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario7,scenario_7.jpg,iCub traccia la posizione della palla.,iCub non vede l'ora di ricevere la palla.,,,M,I,,,,,0,22,22,3,,,,,0,6.961,448.6944712000113,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario30,scenario_30.jpg,iCub non riesce a scegliere con quale giocattolo giocare.,iCub è in modalità stand-by.,,,I,M,,,,,0,23,23,15,,,,,90,11.327,455.7681800999999,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario18,scenario_18.jpg,iCub misura la distanza fra la ragazza e le cuffie.,iCub si aspetta che la ragazza dia in prestito le cuffie.,,,M,I,,,,,0,24,24,9,,,,,30,11.906,467.20790860000125,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,25,25,31,,,,,0,8.065,479.2341202000098,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,26,26,26,,,,,100,19.885,487.4137277000118,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,27,27,23,,,,,40,8.962,507.4215991000092,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,28,28,1,,,,,100,16.576,516.4914076000132,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,29,29,16,,,,,80,11.2,533.1777583000076,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario5,scenario_5.jpg,iCub è annoiato.,iCub è in fase di spegnimento.,,,I,M,,,,,0,30,30,2,,,,,60,8.2,544.4911169000115,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario17,scenario_17.jpg,iCub cerca di essere affascinante.,iCub ha i motori delle palpebre rotti.,,,I,M,,,,,0,31,31,24,,,,,0,7.756,552.8240326000086,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario33,scenario_33.jpg,iCub è affascinato dall'uso degli utensili.,iCub afferra l'oggetto più vicino.,,,I,M,,,,,0,32,32,32,,,,,90,17.273,560.7027681000036,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
scenario34,scenario_34.jpg,iCub aggiorna le coordinate della posizione della palla.,iCub ha deciso di non lanciare la palla.,,,M,I,,,,,0,33,33,33,,,,,20,14.458,578.092682100003,None,,,3,001,2021_Nov_08_1139,InStance_GRUPPO_Psychopy,2020.1.3,60.05407269154936,
,,,,,,,,,,,,,,,,,,,,,,,,592.577008200009,None,,,,,,,
