scenarioNo,ImageAll,TextLeft,TextRight,TypeLeft,TypeRight,Lefttype,Righttype,trials_Practice.thisRepN,trials_Practice.thisTrialN,trials_Practice.thisN,trials_Practice.thisIndex,trials_Pre.thisRepN,trials_Pre.thisTrialN,trials_Pre.thisN,trials_Pre.thisIndex,rating_p.response,rating_p.rt,textRight_p.started,textRight_p.stopped,rating.response,rating.rt,textLeft.started,textLeft.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
scenario2,scenario_0_EXAMPLE.png,iCub categorizza gli oggetti in base alla loro forma.,iCub preferisce gli oggetti sferici.,M,I,,,0,0,0,0,,,,,0,28.817,84.8115598000004,None,,,,,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario32,scenario_32.jpg,iCub si diverte contando le dita su ciascuna mano.,iCub calibra la posizione della testa con quella della mano.,,,I,M,,,,,0,0,0,16,,,,,100,13.215,119.3529056000043,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario31,scenario_31.jpg,iCub mette gli oggetti nel contenitore con la forma corrispondente.,iCub sa che è giusto mettere in ordine il tavolo dopo aver giocato.,,,M,I,,,,,0,1,1,31,,,,,12,10.093,132.68735250000464,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario22,scenario_22.jpg,iCub riporta la testa nella posizione iniziale.,iCub non è più interessato al giocattolo.,,,M,I,,,,,0,2,2,27,,,,,100,11.465,142.886173400002,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario4,scenario_4.jpg,iCub calcola il numero di monete.,iCub ha deciso di restituire le monete.,,,M,I,,,,,0,3,3,18,,,,,2,13.476,154.48940340000263,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario26,scenario_26.jpg,iCub è deluso che la palla non rimbalzi.,iCub ha un malfunzionamento alla mano.,,,I,M,,,,,0,4,4,12,,,,,0,9.464,168.09058709999954,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario20,scenario_20.jpg,iCub muove la testa verso I maglioni dai colori luminosi.,iCub è sorpreso che ci sia una persona nuova.,,,M,I,,,,,0,5,5,26,,,,,89,13.45,177.66403790000186,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario3,scenario_3.jpg,iCub afferra meglio gli oggetti cilindrici.,iCub pensa che alla ragazza piaccia il bicchiere.,,,M,I,,,,,0,6,6,1,,,,,5,8.698,191.2266135000027,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario1,scenario_1.jpg,iCub scansiona l'ambiente.,iCub è interessato a questi oggetti.,,,M,I,,,,,0,7,7,0,,,,,100,7.93,200.0489641000022,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario15,scenario_15.jpg,iCub rileva facimente gli oggetti con uno schermo.,iCub è incuriosito dalla tecnologia digitale.,,,M,I,,,,,0,8,8,7,,,,,89,8.993,208.10355680000066,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario2,scenario_2.jpg,iCub è sorpreso di vedere l'oggetto in aria.,iCub guarda gli oggetti all'altezza degli occhi.,,,I,M,,,,,0,9,9,17,,,,,0,8.787,217.21783240000514,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario11,scenario_11.jpg,iCub calcola il peso delle palle.,iCub vuole giocare con la ragazza.,,,M,I,,,,,0,10,10,5,,,,,100,11.295,226.1309481999997,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario27,scenario_27.jpg,iCub si diverte a giocare con il camioncino.,iCub allena la coordinazione testa-mano.,,,I,M,,,,,0,11,11,13,,,,,0,20.767,237.54497840000113,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario23,scenario_23.jpg,iCub sta esprimendo un'opinione.,iCub sta ripetendo il gesto di indicare.,,,I,M,,,,,0,12,12,28,,,,,100,12.402,258.4267297000042,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
scenario14,scenario_14.jpg,iCub registra le città italiane in ordine alfabetico.,iCub preferisce le città italiane.,,,M,I,,,,,0,13,13,23,,,,,5,7.598,270.96551790000376,None,,,18,001,2021_Nov_15_1108,InStance_GRUPPO_Psychopy,2020.1.3,None,
